,Name,Mileage,Condition,Year,Price,Dealer,Count of ratings,Reviews
250,2022 INFINITI QX55 LUXE,20705.0,Used,2022,42677,Jaguar-Land Rover Sacramento,10 ,No names
251,2014 Chevrolet Corvette Stingray Z51,30536.0,Used,2014,44994,Fox Auto Group,21 ,No names
252,2021 Jeep Grand Cherokee Limited,33502.0,Used,2021,38444,Reliance Chrysler Jeep Dodge Ram,2 ,No names
253,2020 Jaguar XE S,46531.0,Used,2020,29000,Jaguar Hilton Head,49 ,4.5
254,2020 Volvo S90 T6 R-Design,29798.0,Used,2020,40497,AutoNation Ford Katy,2510 ,4.5
255,2019 Acura RDX A-Spec,43082.0,Used,2019,36988,BMW of Palm Springs,600 ,4.8
256,2020 Genesis G90 5.0 Ultimate,24193.0,Used,2020,56998,Herb Connolly Hyundai,1060 ,3.9
257,2016 RAM 3500 Tradesman,106150.0,Used,2016,46995,Freeman Motor Co Salem,0 ,No names
258,2009 Maserati GranTurismo S,37549.0,Used,2009,49990,Scottsdale Ferrari-Maserati,46 ,5.0
259,2020 Chevrolet Silverado 1500 High Country,43089.0,Chevrolet Certified,2020,54487,Banks Chevy GMC Buick,1389 ,4.7
260,2012 Chevrolet Colorado 1LT,32468.0,Used,2012,18000,T and S Ford,4 ,No names
261,2019 GMC Sierra 1500 Limited SLE,34936.0,GMC Certified,2019,36987,Banks Chevy GMC Buick,1389 ,4.7
262,2007 Jeep Liberty Sport,67491.0,Used,2007,10797,Waukesha's Best Used Cars,41 ,No names
263,2012 INFINITI EX35 Journey,124635.0,Used,2012,9995,Naber Auto Trading,0 ,No names
264,2005 Chevrolet Monte Carlo SS Supercharged,130449.0,Used,2005,7995,International Auto Outlet,188 ,2.3
265,2002 Volkswagen Eurovan MV,155015.0,Used,2002,21980,Starfire Auto Inc.,92 ,3.6
266,2022 Dodge Charger Scat Pack,7877.0,Used,2022,65900,GR Auto Gallery,198 ,3.0
267,2012 Chevrolet Express 3500 LT,163651.0,Used,2012,19999,Unique Auto Group,45 ,4.1
268,2020 Audi A6 55 Prestige,13240.0,Used,2020,52895,Ray Skillman Hyundai of Avon,877 ,4.8
269,2018 Lexus LS 500 Base,36533.0,Used,2018,51493,City Mitsubishi,174 ,2.8
270,2006 Honda S2000 ,40505.0,Used,2006,32575,Route 36 Motorcars,4 ,No names
271,2020 Toyota Tundra SR5,16385.0,Used,2020,41525,AutoNation Toyota Fort Myers,3903 ,4.3
272,2009 Lexus GX 470 ,137422.0,Used,2009,16995,Elite Motors,102 ,4.8
273,2018 Dodge Durango GT,17815.0,Used,2018,34244,Reliance Chrysler Jeep Dodge Ram,2 ,No names
274,2016 Nissan NV200 SV,77918.0,Used,2016,20995,Gandrud Chevrolet,892 ,No names
275,2012 Bentley Continental Supersports ISR,16994.0,Used,2012,119900,Hyundai of Newport,561 ,No names
276,2021 Ford Mustang Mach-E Select,9829.0,Used,2021,50122,Joe Machens Ford Lincoln,1273 ,4.6
277,2004 Toyota Tundra SR5,68315.0,Used,2004,23988,Roseville Automaxx,12 ,No names
278,2018 Hyundai Sonata Sport,56580.0,Used,2018,18996,Joe Machens Ford Lincoln,1273 ,4.6
279,2013 Chrysler 300 S,55500.0,Used,2013,18894,Handy Toyota Inc,4334 ,4.8
280,2008 Toyota Tundra SR5,129962.0,Used,2008,17425,Tillery Chevrolet GMC,98 ,4.1
281,2013 Porsche 911 Carrera 4S,23693.0,Used,2013,81900,Tri-City Auto Gallery,5 ,No names
282,2016 Acura ILX 2.4L,57391.0,Used,2016,20100,Altoona Honda,422 ,4.5
283,2019 Lincoln Navigator Reserve,50399.0,Used,2019,59500,Doug Gray Chrysler Dodge Jeep Inc,72 ,No names
284,2019 BMW X4 xDrive30i,29721.0,BMW Certified,2019,43268,DeFOUW Automotive,655 ,4.8
285,2005 Nissan Titan SE Crew Cab,78638.0,Used,2005,14995,405 Motors,383 ,3.5
286,2020 Mercedes-Benz AMG C 43 Base 4MATIC,22122.0,Used,2020,49788,BMW VW of Topeka,200 ,4.5
287,2016 Tesla Model X 90D,62565.0,Used,2016,59996,Barnes Crossing Chevrolet Buick GMC,105 ,4.0
288,2011 Mercedes-Benz S-Class S 550,112522.0,Used,2011,16500,Clement Ford,680 ,4.6
289,2011 Volvo XC60 T6,39512.0,Used,2011,16999,BMW of Fairfax,1801 ,4.7
290,2018 Toyota RAV4 SE,113540.0,Used,2018,19995,Car Source,75 ,2.0
291,2017 Nissan Murano S,38119.0,Used,2017,28999,Liberty Mitsubishi,10 ,4.6
292,2019 Volvo S60 T6 Momentum,35368.0,Used,2019,31500,Unlimited Motors,51 ,5.0
293,2019 Cadillac XTS Luxury,51799.0,Cadillac Certified,2019,28996,Cadillac of Las Vegas,299 ,No names
294,2019 Kia Stinger Base,13656.0,Kia Certified,2019,28995,Kia Delray,2797 ,4.8
295,1968 Pontiac Firebird 350,63000.0,Used,1968,34000,Exit5 Auto Group,118 ,4.0
296,2021 Volvo XC90 T6 Momentum 7 Passenger,29591.0,Volvo Certified,2021,49900,"Jaguar, Land Rover, Volvo Cars of Indianapolis",433 ,4.3
297,2022 Kia K5 LX,23559.0,Used,2022,27496,Honda of Denton,713 ,4.5
298,2021 Hyundai Palisade SE,25590.0,Used,2021,34985,Tomlinson Motor Company,83 ,No names
299,2015 Hyundai Genesis 3.8,50382.0,Used,2015,21349,Bob Rohrman Kia,836 ,4.5
300,2014 Kia Sorento LX,91874.0,Used,2014,14503,Central Toyota,52 ,No names
301,2020 Hyundai IONIQ Hybrid SE,9998.0,Used,2020,25700,Centennial Hyundai,1730 ,4.5
302,2016 Subaru BRZ Limited,52763.0,Used,2016,23695,Rocky Ridge Auto Sales,637 ,4.9
303,2021 RAM 1500 Classic SLT,23864.0,RAM Certified,2021,40233,Keene Dodge Chrysler Jeep,173 ,3.8
304,2020 Maserati Ghibli S Q4,39020.0,Used,2020,41988,Definitive Motors,109 ,3.9
305,2021 Ford Mustang Mach-E Select,8510.0,Used,2021,52500,H&H Kia,708 ,3.5
306,2018 Porsche Macan ,21500.0,Used,2018,49998,CarMax Laurel - Now offering Curbside Pickup,31 ,No names
307,2011 Ford Ranger Sport,57783.0,Used,2011,18900,Advantage Auto Direct,218 ,4.8
308,2015 Ford Mustang GT,93389.0,Used,2015,24989,Max Hyundai Manhattan,363 ,4.7
309,2022 Buick Enclave Premium,5171.0,Used,2022,45900,Kian Motors,58 ,4.3
310,2023 GMC Yukon SLT,2280.0,Used,2023,77500,Rickenbaugh Cadillac Volvo Cars,2659 ,4.6
311,2012 Maserati GranTurismo S Automatic,78405.0,Used,2012,34950,Overland Park Imports,89 ,2.4
312,2019 Nissan Titan S,30876.0,Used,2019,37550,Causeway Ford Lincoln,879 ,4.7
313,2016 BMW 535 i xDrive,71641.0,Used,2016,22999,CarVision Nissan,394 ,4.5
314,2017 Maserati Levante S,34515.0,Used,2017,41988,Definitive Motors,109 ,3.9
315,2016 BMW X1 xDrive 28i,78819.0,Used,2016,21999,Speck Chrysler Dodge Jeep Ram,18 ,No names
316,2020 Chevrolet Silverado 1500 High Country,43089.0,Chevrolet Certified,2020,54487,Banks Chevy GMC Buick,1389 ,4.7
317,2012 Chevrolet Colorado 1LT,32468.0,Used,2012,18000,T and S Ford,4 ,No names
318,2019 GMC Sierra 1500 Limited SLE,34936.0,GMC Certified,2019,36987,Banks Chevy GMC Buick,1389 ,4.7
319,2007 Jeep Liberty Sport,67491.0,Used,2007,10797,Waukesha's Best Used Cars,41 ,No names
320,2012 INFINITI EX35 Journey,124635.0,Used,2012,9995,Naber Auto Trading,0 ,No names
321,2005 Chevrolet Monte Carlo SS Supercharged,130449.0,Used,2005,7995,International Auto Outlet,188 ,2.3
322,2002 Volkswagen Eurovan MV,155015.0,Used,2002,21980,Starfire Auto Inc.,92 ,3.6
323,2022 Dodge Charger Scat Pack,7877.0,Used,2022,65900,GR Auto Gallery,198 ,3.0
324,2012 Chevrolet Express 3500 LT,163651.0,Used,2012,19999,Unique Auto Group,45 ,4.1
325,2020 Audi A6 55 Prestige,13240.0,Used,2020,52895,Ray Skillman Hyundai of Avon,877 ,4.8
326,2016 Cadillac Escalade Platinum,30631.0,Used,2016,46997,Rhinelander Auto Center,78 ,4.1
327,2020 Toyota Tundra SR5,16385.0,Used,2020,41525,AutoNation Toyota Fort Myers,3903 ,4.3
328,2017 Volvo V60 Cross Country T5,99062.0,Used,2017,19870,Morong Falmouth Mazda,672 ,4.7
329,2017 Lexus RX 450h Base,50574.0,Used,2017,38954,BMW of Las Vegas,1784 ,4.7
330,2023 Genesis GV80 3.5T,3182.0,Used,2023,69990,AutoNation USA Phoenix,140 ,4.1
331,2022 Toyota Corolla SE Nightshade,12563.0,Used,2022,26198,Lou Fusz Toyota,3343 ,4.9
332,2007 Chevrolet Impala SS,35533.0,Used,2007,11000,J.B.A. Chevrolet,391 ,3.7
333,2019 Land Rover Range Rover 3.0L V6 Supercharged HSE,25101.0,Used,2019,69985,Bob Johnson Certified Collection,17 ,No names
334,2021 BMW M850 Gran Coupe i xDrive,20771.0,Used,2021,84999,BMW of Las Vegas,1784 ,4.7
335,2018 RAM 2500 Laramie,120980.0,Used,2018,44605,Victory Chevrolet of Savannah,34 ,3.5
336,2020 Jeep Cherokee Limited 4WD,24965.0,Used,2020,30000,Superior Dodge Chrysler Jeep Ram Of Siloam Springs,51 ,2.8
337,2010 Honda Ridgeline RTL,118172.0,Used,2010,15995,Honda of Salem,1588 ,4.8
338,2017 GMC Yukon SLE,78037.0,Used,2017,32995,Halladay Buick GMC,714 ,4.9
339,2020 Audi S4 3.0T Premium,14923.0,Used,2020,51950,Hennessy Porsche,1768 ,4.9
340,2020 Lincoln Aviator Reserve AWD,19352.0,Used,2020,58990,Doral Lincoln,924 ,2.9
341,2022 GMC Sierra 3500 Denali,4032.0,Used,2022,87713,Parks Motor Sales Inc,50 ,4.0
342,2013 Mitsubishi Outlander Sport ES,105169.0,Used,2013,7999,Auto Spot LLC,177 ,3.2
343,2022 BMW M4 Competition,11231.0,Used,2022,86789,BMW of Towson,271 ,4.7
344,2019 Mercedes-Benz E-Class E 450,18457.0,Used,2019,60998,Mercedes-Benz of Anaheim,1696 ,4.6
345,2021 Hyundai Elantra SEL,29996.0,Used,2021,18498,HGreg Nissan Kendall,337 ,4.7
346,2017 Kia Niro Touring,26517.0,Used,2017,25224,Lexus of Sacramento,641 ,4.7
347,2021 Ford Expedition XLT,24578.0,Used,2021,48382,AutoNation Chevrolet Gilbert,775 ,4.4
348,2018 Porsche Panamera E-Hybrid Turbo S,34660.0,Used,2018,139300,Porsche Colorado Springs,48 ,4.5
349,2019 Jaguar E-PACE S,15002.0,Used,2019,39990,Jaguar Land Rover Harrisburg,30 ,No names
350,2019 Hyundai IONIQ Hybrid Blue,83786.0,Used,2019,17499,GTX Auto Group INC,51 ,3.3
351,2022 Alfa Romeo Stelvio Veloce,22929.0,Used,2022,47987,Bill Luke Tempe,1151 ,4.8
352,2013 Volvo C30 T5 R-Design Premier Plus,89453.0,Used,2013,15488,Bobby Rahal Volvo Cars South Hills,49 ,4.8
353,2018 FIAT 500 Pop,34358.0,Used,2018,15995,Five Star Auto Sales of Tampa,54 ,4.2
354,2015 RAM ProMaster 2500 High Roof,151366.0,Used,2015,25114,Jim Riehl's Friendly Chrysler-Dodge-Jeep-RAM,903 ,4.9
355,2020 Jaguar XE S,46531.0,Used,2020,29000,Jaguar Hilton Head,49 ,4.5
356,2020 Volvo S90 T6 R-Design,29798.0,Used,2020,40497,AutoNation Ford Katy,2510 ,4.5
357,2019 Mercedes-Benz AMG GLS 63 Base 4MATIC,62275.0,Used,2019,73000,Mercedes-Benz of Lynnwood,127 ,4.4
358,2020 Volvo S60 T6 Momentum,20906.0,Used,2020,30100,Capitol City Ford,178 ,4.2
359,2022 Hyundai Elantra N Base,28089.0,Used,2022,34198,Whitmoyer Auto Group,296 ,4.4
360,2018 Chrysler 300 S,72871.0,Used,2018,22986,Kendall Ford of Meridian,1119 ,4.7
361,2014 Nissan Versa Note SV,99230.0,Used,2014,11990,Lithia Nissan Of Eugene,467 ,4.0
362,2017 Toyota RAV4 Hybrid XLE,92254.0,Used,2017,21995,Parks Ford of Wesley Chapel,2803 ,4.7
363,2019 Honda Fit LX,37993.0,Used,2019,19455,Shottenkirk Superstore,101 ,4.1
364,2020 Chevrolet Silverado 1500 High Country,43089.0,Chevrolet Certified,2020,54487,Banks Chevy GMC Buick,1389 ,4.7
365,2012 Chevrolet Colorado 1LT,32468.0,Used,2012,18000,T and S Ford,4 ,No names
366,2018 Volvo XC90 T6 R-Design,29453.0,Used,2018,39990,TCF Auto Wholesale,77 ,4.8
367,2019 Land Rover Range Rover Sport HSE MHEV,19319.0,Used,2019,65480,Giles Nissan Lafayette,24 ,3.2
368,2015 Chevrolet Impala 1LS,87559.0,Used,2015,16995,LaFleur Auto Sales,5 ,No names
369,2007 Toyota Camry Solara SLE,75645.0,Used,2007,13000,Lauterbach Buick-GMC,32 ,4.4
370,2017 Ford Focus RS Base,25719.0,Used,2017,40000,Rides Auto Sales,62 ,5.0
371,2018 Volvo XC90 T6 R-Design,41600.0,Used,2018,37770,TCF Auto Wholesale,77 ,4.8
372,2021 Kia K5 GT-Line,40541.0,Used,2021,27329,Steven Nissan,150 ,4.6
373,1964 Volkswagen Beetle (Pre-1980) ,23000.0,Used,1964,31064,Southern Motor Company,14 ,No names
374,2022 Chevrolet Trailblazer ACTIV,21434.0,Used,2022,36000,East Coast Honda,109 ,No names
375,2013 Subaru XV Crosstrek 2.0i Limited,62052.0,Used,2013,19000,Rides Auto Sales,62 ,5.0
376,2008 Mercedes-Benz CLS-Class CLS 550,86593.0,Used,2008,12980,Star Motor Sales,189 ,3.4
377,2014 Volkswagen Tiguan 4MOTION Auto SE,41987.0,Used,2014,16500,Eide Chrysler,213 ,4.7
378,2020 BMW X7 xDrive40i,31348.0,BMW Certified,2020,65490,BMW of Idaho Falls,48 ,5.0
379,2018 Ford Shelby GT350 Base,37492.0,Used,2018,58995,Hub City Ford,446 ,4.6
380,2022 GMC Savana 3500 LS,13451.0,Used,2022,49977,KC Summers Nissan Toyota Buick GMC,35 ,No names
381,2002 Buick LeSabre Custom,62247.0,Used,2002,7495,Parkway Auto,83 ,2.5
382,1972 Chevrolet Nova ,89439.0,Used,1972,33790,Auto By Design,301 ,4.4
383,2016 Mazda CX-3 Touring,60555.0,Used,2016,16000,Auto Boutique,1050 ,4.9
384,2015 Land Rover Range Rover Evoque Pure,111276.0,Used,2015,19995,Land of Cars,12 ,No names
385,2015 Maserati Ghibli Base,38413.0,Used,2015,28888,Bentley High Point,No names,No names
386,2018 Mercedes-Benz GLS 450 Base 4MATIC,60255.0,Used,2018,42371,Gebhardt BMW,373 ,3.8
387,2017 Volvo S60 Cross Country T5,14029.0,Used,2017,30998,CarMax Serramonte - Now offering Curbside Pickup and Home Delivery,4 ,No names
388,2017 Chevrolet Cruze LT,56148.0,Used,2017,16204,McGrath Fulton CDJR,75 ,4.7
389,2016 Mitsubishi Outlander Sport 2.4 ES,68620.0,Used,2016,15998,Leeder Automotive,80 ,No names
390,2020 RAM 1500 Big Horn,23610.0,Used,2020,37997,Stuckey Mitsubishi,19 ,4.9
391,2003 Lincoln Town Car Executive,105000.0,Used,2003,5588,Pinellas Auto Brokers,77 ,2.4
392,2014 BMW 320 i xDrive,134889.0,Used,2014,11571,Yalcars,306 ,4.4
393,2022 Cadillac CT5 Premium Luxury AWD,10838.0,Used,2022,49000,Kunes GMC of Belvidere,30 ,3.5
394,2011 Scion tC Base,101000.0,Used,2011,6900,Platinum Automotive LLC,1 review,No names
395,2021 Lincoln Corsair Reserve,20172.0,Used,2021,44962,Heller Ford,726 ,4.8
396,2008 Toyota Prius IV,214148.0,Used,2008,7995,Parkway Auto,83 ,2.5
397,2021 RAM 1500 Laramie,13816.0,Used,2021,57998,CarMax Norcross - Now offering Curbside Pickup and Home Delivery,19 ,No names
398,2020 Jeep Cherokee Latitude,41122.0,Used,2020,24998,CarMax Ocala - Now offering Curbside Pickup,0 ,No names
399,2018 Mercedes-Benz GLE 350 Base,61435.0,Used,2018,33999,Hebert's Town & Country Chrysler Dodge Jeep RAM,1784 ,4.8
400,2020 Dodge Durango GT,61837.0,Used,2020,33487,Lithia Toyota of Springfield,1216 ,4.9
401,2020 Audi Q3 2.0T Premium Plus,11907.0,Used,2020,39900,Audi Middleburg Heights,35 ,No names
402,2022 Land Rover Range Rover P400 SE,3123.0,Used,2022,162998,Century Automotive,15 ,1.6
403,2021 Subaru WRX STI Limited w/Lip,3655.0,Subaru Certified,2021,48498,AutoNation Subaru Hunt Valley,345 ,4.7
404,2018 BMW 320 i xDrive,23789.0,Used,2018,22995,Unlimited Auto Group,35 ,1.7
405,2021 Toyota Avalon Hybrid XLE,3738.0,Used,2021,39476,Sunshine Toyota,1725 ,4.9
406,2017 RAM 3500 Tradesman,60589.0,Used,2017,48951,Gilland Chevrolet GMC,153 ,3.6
407,2021 GMC Canyon Elevation Standard,18997.0,Used,2021,39995,AUTOSOURCE,128 ,4.7
408,2019 Mazda Mazda3 FWD w/Select Package,45319.0,Used,2019,18998,HGreg.com Tampa,238 ,4.8
409,2019 Acura MDX Sport Hybrid 3.0L w/Technology Package,63917.0,Used,2019,35977,Imperial Chevrolet,1734 ,4.7
410,2013 Mercedes-Benz G-Class G 63 AMG,22911.0,Used,2013,83900,Hyundai of Newport,561 ,No names
411,2012 Mercedes-Benz SLK-Class SLK 350,83575.0,Used,2012,20500,Carmel Auto Gallery,40 ,3.9
412,2022 Ford Edge SEL,8724.0,Used,2022,36998,Freedom Nissan,346 ,3.8
413,2019 Kia Stinger GT2,43181.0,Kia Certified,2019,38818,Price Kia,82 ,No names
414,2020 INFINITI QX80 Luxe,61145.0,Used,2020,38990,Hudiburg Chevrolet Buick GMC,1800 ,4.6
415,2018 Ford Expedition Limited,52081.0,Used,2018,47990,Ressler Chevrolet,0 ,No names
416,2017 Ford Mustang EcoBoost,62693.0,Used,2017,19877,Crown Automotive,34 ,5.0
417,2016 Cadillac ATS-V Base,39820.0,Used,2016,42000,VanDevere Buick Kia,668 ,4.8
418,2017 Toyota Avalon Limited,18713.0,Toyota Certified,2017,29960,Durango Motor Company,645 ,4.6
419,2016 Cadillac ATS-V Base,65370.0,Used,2016,37988,Ride N Drive,24 ,4.4
420,2019 Subaru Legacy ,71179.0,Used,2019,26700,Bud Clary Chevrolet,201 ,3.3
421,2022 Toyota RAV4 Hybrid SE,248.0,Used,2022,49788,Beaver Toyota of St. Augustine,3396 ,4.9
422,2018 GMC Yukon XL Denali,45771.0,Used,2018,49995,Brentwood Auto Brokers,84 ,3.5
423,2013 Toyota Tacoma Base,73512.0,Used,2013,25995,Payless Car Sales - Anchorage,173 ,4.0
424,2022 Genesis GV70 2.5T,3952.0,Used,2022,46956,Schomp Honda,1343 ,4.9
425,2021 Toyota Supra 3.0 Premium,21715.0,Used,2021,54908,AutoNation Cadillac Corpus Christi,604 ,4.7
426,2006 Toyota 4Runner SR5,194180.0,Used,2006,8995,Holiday Budget Center,219 ,4.9
427,2022 Audi RS 5 2.9T,2533.0,Used,2022,87888,Glenview Luxury Imports,331 ,4.8
428,2013 MINI Convertible Cooper S,54700.0,Used,2013,15995,A Better Way Wholesale,1350 ,1.8
429,2022 Honda Accord Sport 1.5T,906.0,Used,2022,30995,Toyota of Santa Barbara,0 ,No names
430,2012 Ferrari 458 Spider Base,25456.0,Used,2012,229655,Luxury Auto Collection,33 ,3.1
431,2005 Audi TT 1.8L,31102.0,Used,2005,11990,CarLink Fort Myers,1 review,No names
432,2019 Toyota Camry Hybrid LE,35035.0,Used,2019,26499,Independence Toyota,39 ,4.0
433,2015 Chevrolet Camaro 1LS,51872.0,Used,2015,17998,Husker Auto Group,657 ,3.2
434,2022 GMC Sierra 1500 Limited AT4,15361.0,Used,2022,61995,Perkins Motor Plex,160 ,4.6
435,2016 Mitsubishi Outlander Sport 2.0 ES,16309.0,Used,2016,16994,Russ Darrow Waukesha Mitsubishi,609 ,4.6
436,2020 Chrysler 300 Touring,20495.0,Chrysler Certified,2020,29991,Ilderton Dodge Chrysler Jeep RAM,230 ,4.9
437,2019 Land Rover Range Rover Velar P380 SE R-Dynamic,23623.0,Used,2019,61995,Payless Car Sales - Anchorage,173 ,4.0
438,2010 Lincoln Navigator Base,103106.0,Used,2010,14999,Country Chevrolet,539 ,4.8
439,2022 Volvo XC90 Recharge Plug-In Hybrid T8 R-Design 7 Passenger,13457.0,Volvo Certified,2022,71964,"Jaguar, Land Rover, Volvo Cars of Indianapolis",433 ,4.3
440,2022 Ford Bronco Sport Badlands,6925.0,Used,2022,39500,Heritage Hyundai Towson,3050 ,4.8
441,2015 Mercedes-Benz GL-Class GL 63 AMG,57220.0,Used,2015,38535,Leson Chevrolet,430 ,4.3
442,2016 INFINITI Q70L 5.6X,78352.0,Used,2016,28999,AutoNation Dodge Ram Arapahoe,869 ,4.5
443,2019 Mercedes-Benz AMG CLA 45 Base 4MATIC,23512.0,Used,2019,38510,Power Motors East,86 ,4.0
444,2013 Mercedes-Benz S-Class S 550 4MATIC,76098.0,Used,2013,23995,Mint Auto Sales,189 ,3.0
445,2014 Mercedes-Benz M-Class ML 350 4MATIC,98363.0,Used,2014,18744,Jackie Cooper Imports,3492 ,4.9
446,2010 Chevrolet Express 1500 Work Van,28834.0,Used,2010,25995,J & M Automotive,358 ,2.9
447,2019 Hyundai Elantra GT N Line,36340.0,Used,2019,22975,Freeman Hyundai,1454 ,4.3
448,2020 Audi Q8 55 Premium Plus,7037.0,Used,2020,64999,Checkered Flag Audi - Porsche,569 ,4.9
449,2015 Jaguar XF 3.0 Portfolio,64896.0,Used,2015,20710,RC Automotive,68 ,No names
450,2011 Nissan Armada Platinum,132539.0,Used,2011,13500,Fairway Ford,918 ,4.8
451,2020 RAM ProMaster 1500 Base,54652.0,Used,2020,34945,Bachrodt Baraboo Motors,981 ,4.8
452,2020 BMW 230 i,16335.0,Used,2020,37900,California Beemers Teslers,127 ,2.7
453,2017 Jaguar F-TYPE Base,24915.0,Used,2017,37978,Hanna Imports,2276 ,3.7
454,2008 Ford Explorer Limited,127220.0,Used,2008,8998,Berkeley Ford,181 ,3.7
455,2021 Toyota Highlander XSE,17401.0,Used,2021,41911,Kalispell Toyota,129 ,4.5
456,2020 INFINITI QX60 Pure,47227.0,Used,2020,28995,Brentwood Auto Brokers,84 ,3.5
457,2016 Chevrolet Silverado 2500 LTZ,9959.0,Used,2016,52900,Auto X-Change,23 ,1.4
458,2017 Chevrolet Malibu 1LS,82289.0,Used,2017,14987,AutoNation Ford Panama City,1339 ,4.4
459,2011 GMC Sierra 3500 H/D,61981.0,Used,2011,42490,Cronin Buick GMC of Bowling Green,9 ,4.9
460,2016 Mazda Mazda6 i Grand Touring,85254.0,Used,2016,17475,Car City Wholesale,25 ,4.4
461,2023 Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,7522.0,Used,2023,39987,Dan Cummins of Georgetown,90 ,4.6
462,2021 RAM 1500 Longhorn,24460.0,Used,2021,51944,Reliance Chrysler Jeep Dodge Ram,2 ,No names
463,2017 Nissan Versa Note SV,68617.0,Used,2017,12051,I-75 Autos,259 ,4.4
464,2021 Toyota Camry Hybrid SE,20156.0,Used,2021,36269,Forest City Honda,776 ,4.8
465,2022 Ford Bronco Wildtrak,2289.0,Used,2022,79995,Quality Auto Sales,134 ,5.0
466,2013 Lincoln MKX Base,90315.0,Used,2013,17991,City Motor Company,89 ,2.3
467,2020 Dodge Durango GT,61837.0,Used,2020,33487,Lithia Toyota of Springfield,1216 ,4.9
468,2020 Audi Q3 2.0T Premium Plus,11907.0,Used,2020,39900,Audi Middleburg Heights,35 ,No names
469,2022 Land Rover Range Rover P400 SE,3123.0,Used,2022,162998,Century Automotive,15 ,1.6
470,2021 Subaru WRX STI Limited w/Lip,3655.0,Subaru Certified,2021,48498,AutoNation Subaru Hunt Valley,345 ,4.7
471,2018 BMW 320 i xDrive,23789.0,Used,2018,22995,Unlimited Auto Group,35 ,1.7
472,2021 Toyota Avalon Hybrid XLE,3738.0,Used,2021,39476,Sunshine Toyota,1725 ,4.9
473,2022 Jeep Grand Cherokee L Limited,4461.0,Jeep Certified,2022,47990,Desert 215 Superstore,No names,No names
474,2021 GMC Canyon Elevation Standard,18997.0,Used,2021,39995,AUTOSOURCE,128 ,4.7
475,2019 Mazda Mazda3 FWD w/Select Package,45319.0,Used,2019,18998,HGreg.com Tampa,238 ,4.8
476,2019 Acura MDX Sport Hybrid 3.0L w/Technology Package,63917.0,Used,2019,35977,Imperial Chevrolet,1734 ,4.7
477,2013 Mercedes-Benz G-Class G 63 AMG,22911.0,Used,2013,83900,Hyundai of Newport,561 ,No names
478,2012 Mercedes-Benz SLK-Class SLK 350,83575.0,Used,2012,20500,Carmel Auto Gallery,40 ,3.9
479,2022 Ford Edge SEL,8724.0,Used,2022,36998,Freedom Nissan,346 ,3.8
480,2019 Kia Stinger GT2,43181.0,Kia Certified,2019,38818,Price Kia,82 ,No names
481,2021 Lexus IS 300 Base,21127.0,Used,2021,36985,AutoNation Chevrolet North Richland Hills,1037 ,4.6
482,2009 Toyota Sienna LE,61797.0,Used,2009,13900,Century Motors Of South Florida,140 ,3.3
483,2022 GMC HUMMER EV Edition 1,143.0,Used,2022,195915,Kelley Buick GMC of Bartow,464 ,4.3
484,1996 Chevrolet Impala SS,21636.0,Used,1996,33990,Dixie Motors,47 ,4.7
485,2007 Toyota Tundra Base,68689.0,Used,2007,18900,Unlimited Motors Fishers,218 ,4.7
486,2018 Lexus LC 500 Base,37067.0,Used,2018,65616,Mercedes-Benz of Pembroke Pines,1258 ,4.6
487,2017 Mercedes-Benz GLC 300 4MATIC Coupe,67276.0,Used,2017,35880,Mercedes-Benz of Pittsburgh ,76 ,No names
488,2003 Ford Ranger XLT Appearance,138431.0,Used,2003,7495,US 30 Auto Sales,11 ,No names
489,2014 Aston Martin V8 Vantage Base,25275.0,Used,2014,54800,Well Auto,0 ,No names
490,2009 Lamborghini Gallardo LP560-4,16137.0,Used,2009,132303,MAG Midwestern Auto Group,72 ,3.1
491,2016 Nissan NV200 S,123090.0,Used,2016,18425,Good Chevrolet,880 ,3.7
492,2021 Buick Encore GX Preferred,14700.0,Used,2021,25975,"Butler Auto Sales, Inc.",767 ,5.0
493,2020 Toyota 86 GT,15270.0,Used,2020,29000,Arrigo Dodge Chrysler Jeep Ram Margate,2277 ,4.2
494,2008 Ford F-250 XL,87488.0,Used,2008,16980,Chrysler World,568 ,4.9
495,2020 Chevrolet Silverado 3500 LT,51626.0,Used,2020,48900,"J. & K. Mitchell, Inc.",4 ,No names
496,2023 Mazda CX-50 2.5 Turbo,1155.0,Used,2023,42995,AutoNation Honda West Knoxville,2104 ,4.8
497,2003 Mercedes-Benz SL-Class SL500 Roadster,96592.0,Used,2003,9995,Fuelin Fine Auto Sales Inc.,47 ,2.8
498,2020 Ford F-250 XLT,56201.0,Used,2020,48273,All Star Ford,524 ,4.6
499,2000 Ford Excursion XLT,100000.0,Used,2000,7999,Car Village,0 ,No names
500,2019 Audi Q7 45 Premium Plus,38336.0,Used,2019,36996,Kendall Subaru of Eugene,539 ,4.8
501,2022 Jeep Grand Cherokee L Laredo,7727.0,Used,2022,42999,Towbin Dodge RAM,997 ,4.7
502,2020 Mercedes-Benz AMG CLA 35 Base 4MATIC,21486.0,Used,2020,47291,Mercedes-Benz of Houston North,1496 ,4.4
503,2011 Audi R8 5.2 quattro Spyder,33095.0,Used,2011,87808,Sewell BMW MINI of Plano,1068 ,4.6
504,2022 Toyota RAV4 Prime XSE,No names,Used,2022,65495,Mossy Toyota,707 ,2.8
