,Name,Mileage,Condition,Year,Price,Dealer,Count of ratings,Reviews
57,2011 Chevrolet Traverse LS,135110.0,Used,2011,8500,Sundance Chevrolet,9262 ,4.8
58,2020 Mazda MX-5 Miata RF Grand Touring,9407.0,Used,2020,30940,Infiniti of Clearwater,279 ,3.6
59,2008 Ford Ranger XL,117710.0,Used,2008,7999,ODaniel Chrysler Dodge Jeep Ram,4741 ,4.9
60,2005 Subaru Baja Sport,98630.0,Used,2005,14000,Kunes GMC of Belvidere,30 ,3.5
61,2015 Mercedes-Benz C-Class C 300,52643.0,Used,2015,23998,CarMax Reno - Now offering Curbside Pickup,7 ,No names
62,2020 Chevrolet Colorado WT,43041.0,Used,2020,22500,Estle Chevrolet Cadillac,75 ,2.1
63,2022 Audi Q7 45 Premium Plus,4010.0,Used,2022,56804,Kelley Buick GMC of Bartow,464 ,4.3
64,2018 INFINITI Q70L 3.7 LUXE,32719.0,Used,2018,34998,CarMax North Houston - Now offering Curbside Pickup and Home Delivery,2 ,No names
65,2017 GMC Yukon XL Denali,86403.0,Used,2017,41900,Green Buick GMC,407 ,4.5
66,2021 Ford Expedition Max Limited,27240.0,Used,2021,62149,Audi Columbia,181 ,4.6
67,2022 Chevrolet Blazer 2LT,22886.0,Used,2022,35500,Kool Chevrolet,424 ,3.4
68,2019 Hyundai Tucson SE,45706.0,Used,2019,20988,Springfield Select Autos,6 ,No names
69,2017 BMW 750 i,51028.0,Used,2017,41152,Lindsay Acura,283 ,3.4
70,2021 Ford F-250 Lariat,33647.0,Used,2021,73995,Carson Ford,4 ,No names
71,2011 Land Rover LR4 Base,69401.0,Used,2011,19995,MAG Motor Company,6 ,No names
72,2021 Kia Telluride S,32228.0,Used,2021,41998,CarMax Hickory - Now offering Curbside Pickup and Home Delivery,3 ,No names
73,2021 Chevrolet Traverse LT Leather,40143.0,Used,2021,36998,CarMax Sacramento South - Now offering Curbside Pickup and Home Delivery,2 ,No names
74,2020 Land Rover Range Rover Evoque SE,36000.0,Used,2020,42500,No names,No names,No names
75,2002 Buick LeSabre Custom,62247.0,Used,2002,7495,Parkway Auto,83 ,2.5
76,2022 GMC Savana 3500 LS,13451.0,Used,2022,49977,KC Summers Nissan Toyota Buick GMC,35 ,No names
77,2016 Mazda CX-3 Touring,60555.0,Used,2016,16000,Auto Boutique,1050 ,4.9
78,2020 Mercedes-Benz GLB 250 Base,7229.0,Used,2020,41411,Mercedes-Benz of North Orlando,538 ,4.7
79,2021 BMW 228 Gran Coupe 228i sDrive Gran Coupe,24544.0,Used,2021,34332,BMW of Beaumont,120 ,4.8
80,2021 Toyota Supra 2.0,13816.0,Used,2021,44995,Auto Park Ford LaPorte,427 ,4.8
81,2019 Kia Optima SX Turbo,31061.0,Used,2019,31000,Harper Motors,493 ,No names
82,2020 Jaguar F-PACE 30t Prestige,61329.0,Used,2020,37998,CarMax Birmingham - Now offering Curbside Pickup,9 ,No names
83,2021 Audi Q5 e 55 Premium,7571.0,Used,2021,53588,Towbin Fiat / Alfa Romeo,130 ,4.9
84,2016 Mazda CX-9 Grand Touring,62088.0,Used,2016,24595,Rudolph Mazda,20 ,4.5
85,2008 Subaru Impreza Outback Sport Wagon,194000.0,Used,2008,5450,Gable Auto Sales,0 ,No names
86,2016 GMC Terrain Denali,16848.0,Used,2016,27916,Hertrich Buick GMC of Salisbury,12 ,3.5
87,2020 Land Rover Discovery SE,74993.0,Used,2020,32995,Northeast Auto Gallery,173 ,3.5
88,2018 RAM 3500 Limited,75055.0,Used,2018,64853,Secret City Chrysler Dodge Jeep RAM,212 ,2.9
89,2020 RAM 1500 Big Horn,23610.0,Used,2020,37997,Stuckey Mitsubishi,19 ,4.9
90,2003 Lincoln Town Car Executive,105000.0,Used,2003,5588,Pinellas Auto Brokers,77 ,2.4
91,2011 Scion tC Base,101000.0,Used,2011,6900,Platinum Automotive LLC,1 review,No names
92,2021 Lincoln Corsair Reserve,20172.0,Used,2021,44962,Heller Ford,726 ,4.8
93,2015 Lexus GX 460 Base,110186.0,Used,2015,27966,BMW of Roseville,1065 ,4.7
94,2015 BMW 328 i,49692.0,Used,2015,18977,BMW of Beaumont,120 ,4.8
95,2006 Mercedes-Benz SLK-Class SLK350 Roadster,57601.0,Used,2006,14910,Mercedes-Benz of Chesterfield,99 ,4.2
96,2019 Volkswagen Atlas 3.6L SE w/Technology,45618.0,Used,2019,27599,Key Acura of Gainesville,66 ,5.0
97,2016 Nissan 370Z Sport Tech,59256.0,Used,2016,26997,Carousel Nissan,56 ,No names
98,2018 Chrysler 300 S,98790.0,Used,2018,20000,Eide Ford-Lincoln Inc,637 ,4.7
99,2017 Cadillac ATS-V Base,35024.0,Used,2017,47999,Thornton Chevrolet,325 ,4.6
100,2020 Volvo XC40 T5 R-Design,25757.0,Used,2020,38900,Tasca Automotive Group,5748 ,4.8
101,2008 Toyota Prius IV,214148.0,Used,2008,7995,Parkway Auto,83 ,2.5
102,2021 RAM 1500 Laramie,13816.0,Used,2021,57998,CarMax Norcross - Now offering Curbside Pickup and Home Delivery,19 ,No names
103,2020 Jeep Cherokee Latitude,41122.0,Used,2020,24998,CarMax Ocala - Now offering Curbside Pickup,0 ,No names
104,1972 Chevrolet Nova ,89439.0,Used,1972,33790,Auto By Design,301 ,4.4
105,2022 Chrysler Pacifica Limited,18499.0,Chrysler Certified,2022,47250,Hebert's Town & Country Chrysler Dodge Jeep RAM,1784 ,4.8
106,2021 Ford Expedition Max Limited,27240.0,Used,2021,62149,Audi Columbia,181 ,4.6
107,2022 Chevrolet Blazer 2LT,22886.0,Used,2022,35500,Kool Chevrolet,424 ,3.4
108,2019 Hyundai Tucson SE,45706.0,Used,2019,20988,Springfield Select Autos,6 ,No names
109,2017 BMW 750 i,51028.0,Used,2017,41152,Lindsay Acura,283 ,3.4
110,2015 BMW 328 i,49692.0,Used,2015,18977,BMW of Beaumont,120 ,4.8
111,2006 Mercedes-Benz SLK-Class SLK350 Roadster,57601.0,Used,2006,14910,Mercedes-Benz of Chesterfield,99 ,4.2
112,2019 Volkswagen Atlas 3.6L SE w/Technology,45618.0,Used,2019,27599,Key Acura of Gainesville,66 ,5.0
113,2016 Nissan 370Z Sport Tech,59256.0,Used,2016,26997,Carousel Nissan,56 ,No names
114,2008 Toyota Prius IV,214148.0,Used,2008,7995,Parkway Auto,83 ,2.5
115,2002 Buick LeSabre Custom,62247.0,Used,2002,7495,Parkway Auto,83 ,2.5
116,1972 Chevrolet Nova ,89439.0,Used,1972,33790,Auto By Design,301 ,4.4
117,2015 Land Rover Range Rover Evoque Pure,111276.0,Used,2015,19995,Land of Cars,12 ,No names
118,2015 Maserati Ghibli Base,38413.0,Used,2015,28888,Bentley High Point,No names,No names
119,2018 Mercedes-Benz GLS 450 Base 4MATIC,60255.0,Used,2018,42371,Gebhardt BMW,373 ,3.8
120,2017 Volvo S60 Cross Country T5,14029.0,Used,2017,30998,CarMax Serramonte - Now offering Curbside Pickup and Home Delivery,4 ,No names
121,2015 Scion tC ,83043.0,Used,2015,16695,DriveTime of Fresno,No names,No names
122,2015 Mercedes-Benz C-Class C 300,52643.0,Used,2015,23998,CarMax Reno - Now offering Curbside Pickup,7 ,No names
123,2020 Chevrolet Colorado WT,43041.0,Used,2020,22500,Estle Chevrolet Cadillac,75 ,2.1
124,2018 INFINITI Q70L 3.7 LUXE,32719.0,Used,2018,34998,CarMax North Houston - Now offering Curbside Pickup and Home Delivery,2 ,No names
125,2017 GMC Yukon XL Denali,86403.0,Used,2017,41900,Green Buick GMC,407 ,4.5
126,2018 Ford Transit-350 XL,63923.0,Used,2018,47999,Speck Chrysler Dodge Jeep Ram,18 ,No names
127,2016 Kia Optima LX,76689.0,Used,2016,12999,West Chicago Auto Mall,82 ,3.2
128,2009 Nissan Frontier SE Crew Cab,113017.0,Used,2009,11967,Drive N-Motion Greeley,80 ,4.0
129,2021 GMC Canyon Elevation Standard,15721.0,Used,2021,33915,Robert Basil Buick GMC Cadillac,244 ,4.4
130,2017 Mitsubishi Lancer SE,74897.0,Used,2017,18998,CarMax Lancaster - Now offering Curbside Pickup,13 ,No names
131,2014 Toyota Tacoma Base,33162.0,Used,2014,26788,Haddad Toyota,853 ,3.8
132,2010 Chevrolet Camaro 2SS,28262.0,Used,2010,24900,McKenney Salinas Honda,549 ,4.8
